"","Sample_Name","Sample_Well","Sample_Plate","Sample_Group","Sample_Label","Sentrix_ID","Sentrix_Position","Sample_source","Sample_run","Num_individuals"
"1","103516-001-002","B01",1,"Epithelialcell","Epithelialcell",202905570075,"R02C01","A1","Old",12
"31","103516-001-033","A05",1,"Macrophage","Macrophage",202900540047,"R01C01","M1","Old",4
"32","103516-001-034","B05",1,"Macrophage","Macrophage",202900540047,"R02C01","M2","Old",4
"33","103516-001-035","C05",1,"Macrophage","Macrophage",202900540047,"R03C01","M3","Old",4
"34","103516-001-036","D05",1,"Granuloycte","Granuloycte",202900540047,"R04C01","G1","Old",4
"35","103516-001-037","E05",1,"Granuloycte","Granuloycte",202900540047,"R05C01","G2","Old",4
"36","103516-001-038","F05",1,"Granuloycte","Granuloycte",202900540047,"R06C01","G3","Old",4
"37","103516-001-039","G05",1,"Lymphocyte","Lymphocyte",202900540047,"R07C01","L1","Old",6
"38","103516-001-040","H05",1,"Lymphocyte","Lymphocyte",202900540047,"R08C01","L2","Old",6
"39","M1","R04C01",1,"Macrophage","Macrophage",204071680134,"R04C01","M1","New",2
"40","M2","R05C01",1,"Macrophage","Macrophage",204071680134,"R05C01","M2","New",3
"41","G1","R06C01",1,"Granuloycte","Granuloycte",204071680134,"R06C01","G1","New",5
"42","L1","R07C01",1,"Lymphocyte","Lymphocyte",204071680134,"R07C01","L1","New",5
"43","AEC1","R08C01",1,"Epithelialcell","Epithelialcell",204071680134,"R08C01","AEC1","New",5
"44","CF4","R01C01",1,"Raw","Raw",204074230020,"R01C01","CF4","New",1
"45","CF1","R02C01",1,"Raw","Raw",204074230020,"R02C01","CF1","New",1
"46","CF3","R03C01",1,"Raw","Raw",204074230020,"R03C01","CF3","New",1
"47","CF2","R04C01",1,"Raw","Raw",204074230020,"R04C01","CF2","New",1
"48","CF5","R05C01",1,"Raw","Raw",204074230020,"R05C01","CF5","New",1
"49","CTRL","R06C01",1,"Raw","Raw",204074230020,"R06C01","CTRL","New",1
